userid,deviceid,basedata
12,12,DOs7Obj9VySGBQeizido4SB%2Bvab36ffTiwMNBWH4%2FHE%3D
1,1,WIyf21Bn4A0zpsoSEJVWK7p8hx0iPJbsQWPqKxnPLSI%3D
2,2,j9sqkiq6wNlkjuX1EbQ%2B%2Bj%2FnyVisO0uqEqsX4oqT6HQ%3D
3,3,Gq2u7k583YSWlwHNmV0SwmSCjsVDSe%2BdPOyHjcEdgLU%3D
4,4,7ntCa7WZjnLalTFeRTdaHpDeE0GnqgeG012I3myf1Q8%3D
5,5,1bVv5DRyV9eNlxyHhhLzzhMFI%2FqZBjPSzvGskS57X%2Bk%3D
6,6,lOYRyrj%2BsQ7NZDZpmx9XCmFy0QlVQouWtqeRhi3pLZc%3D
7,7,RDZgQ1v6bZ2LyQvy5mObo9PtnrB1fICp7BWAOIaD6a4%3D
8,8,%2FpNTN%2B8izrWDzm3syfohjsv%2FQIJiFUQYJDuuEnOUBms%3D
9,9,%2B66gVa%2BJrqwjEt3Bzfy7A4t8b47EEcK3hQ18Oe%2FmK%2BM%3D
10,10,nYZwNqWS2cfpjc9djvtzU46EnTjNYzduBj3tWenSpXY%3D
11,11,Su092lkSLnjuoB2bkVhq5Sz16sdT076yBr%2BwCrpbQmU%3D
12,12,DOs7Obj9VySGBQeizido4SB%2Bvab36ffTiwMNBWH4%2FHE%3D
13,13,k3lPhPQe6L7u28eJfFYUUElqcbqmRC68hZHHdAbI0Js%3D
14,14,W3WNF%2BGgnXSGZV%2Bp8uJFKLzVqk3dJs5s2cCpjVe0Yzk%3D
15,15,N4S0cYkVJOViUWa5Oqqa%2Bi5l%2FsJhZa7H4%2Fu5e5OgGow%3D
16,16,TUU4kdfbPHCp2sPkyMI8g9OmT%2FzF9mUjEyK6PTgjdzU%3D
17,17,Nln%2FekQVD8yAsFRf6u0JEOosqRlk%2Fjqp%2Bz1co4x%2FUE0%3D
18,18,tcAjVCXlzmJklIcJHqmQ1Tv0JXYg89v5005smKXYgfg%3D
19,19,qCi0SfTAvMFVRawJjlMvRGjJ8bpfDixfoJ6IICOeVcU%3D
20,20,baeTEMvLPRparbFTwFX3pEaZ0PWtpvg%2FzBmHn1Qkc0w%3D
21,21,9AvLziKGmTL5UbIBQxjOudI0N40nBbCz7VwEuI4AYn0%3D
22,22,VxZN0%2BuScWlPDe%2Fb%2FiOY3UXtnylTMOtR4WqdMMu1890%3D
23,23,FW8%2FwjpFF6fr%2FSIOhvvPyartdSdregjES6HzPT5bII0%3D
24,24,C2c3EV1VBHNrsGYqJ0o0HqnZFNzmhrIRdnuPmT9F3dE%3D
25,25,EMShlGChjZI79dC%2Bkbk1bCassG9BBR4dqHWmLmCpW3w%3D
26,26,IvHkwx9S2SttxjEiwkGkWPrvGs14l5pNomSqlDazoOI%3D
27,27,uj9653FyJgTdgXpdQP%2BYxjA88B%2BaNkeXC%2FW3838TzuU%3D
28,28,FZDJcZXZqwJOZ6opuvh8I0ido59Zz2Vw6DiajfQ7zfQ%3D
29,29,yn9SNQrkE85HhndPLeoWKIddrd2U1ODGGzXkH%2BR34A0%3D
30,30,KXb8lObJaiCZI2s%2FKwrLl4vcq2h2piUlw7b49bAgRRA%3D
31,31,Tfc3Ee6ArF2DosDPLxUq5bP0OlBUuQv9zpi8mmYdJCk%3D
32,32,AvdGOuGoFV%2FtPpqnQ%2F%2FiUFPUC%2BqsUDxclS9WuLKzjcM%3D
33,33,cA9xVbOAs0QCJPcIAxIru6WrpzDQWGtmUnWeu%2FxIQyM%3D
34,34,IF30Kl4dICzrRvctlQ5sMbWkoBG0XcShtoe%2BFU%2FMrKk%3D
35,35,Nbn6HjjJyXVGEgtzJ3N%2Fgl9zOsyk35uWYBWHElMtV%2BE%3D
36,36,OL8qxe%2Fg6FSn6pf99jLbmWcZAbqzuuEcMzfVjncwLEc%3D
37,37,TcC5HPuRztpuwZc2VBIq%2Ff1WNmkBxdPwd2R7fXn%2FfWg%3D
38,38,ptHrhWGYFWuH1efzc79%2F2FNS%2FDQNcp1GYJuAOm2hzbY%3D
39,39,YYsx2PTk8CogiYSMlUKPLKkOGh97brN09GMPNC%2B4IXA%3D
40,40,%2BDZzwKLkbxFEXQ8yuYdheD0ruepC1S1L%2Fw0Jv1gUomU%3D
41,41,TbEQZAxdN5mfHDd7a3vXzX5%2BO7Q0EVEtpcAI%2BA5%2F2S8%3D
42,42,lBLlo9oogr6aVkOupnaMUYKtcYCFb7ty5R5xrg%2BZS8Q%3D
43,43,cLOvv9M6MvWRq4KrMBAsRgw5izPsM4S%2FYSjWTD%2BYomA%3D
44,44,TThEaT5Fh%2Fq972hAZj0u%2Be6TYDeUYwBr1N0%2BLcvzX2c%3D
45,45,fsZ4KFqh7dxWkV8ouLKZ1ySd5EoTatcDhwvGhJ6Qmc4%3D
46,46,V6QR2GeWI90cltFVvvYl%2FCed3CkpiNNRczXvra5%2B6FA%3D
47,47,u2MQUYu6sxhYpXPLoMGBGPGuaGqkNT9CJampKZCJ2xw%3D
48,48,CzdlyxQRmk6fwTgT73Sw%2Fy529Spw7pCiup2GMRN3i9w%3D
49,49,wJK0KF88cWKYW6BwLCwLs0fzvYkiVRsCDkPPKrdHydw%3D
50,50,Z6U5b8RCrVj4Su1%2BiLigQRUeWZTFkO11czRP7zgcR7U%3D
51,51,QvyTNPPzjHv64LM6EQ7%2BM9wP6h0gUrHDnqP%2FCJnGOrA%3D
52,52,%2FLPrYWS3wP147MS%2FOkhBBL5dxEXYhsKirzu4%2BTG1S2E%3D
53,53,8XskkIl8K6x5qaZ%2BdvNmi3MgMnAuqdPdKqHUOYnh96k%3D
54,54,rdMZEZJiCgrRjhHTMagP6q9yOslStWFJ05D%2FPHESlfE%3D
55,55,W33Q62Dsrl58%2FTzNcxT6CbDS2W0HxqvEqjF943u%2BoQg%3D
56,56,WH7Fv1uj6EKZm4PhrJHREDgsq2q9HOLTzHOvOdtYsSw%3D
57,57,4vzCKETWRz5n7qwYsak37e2OdpKg%2Blv9Y7M3GQJkljM%3D
58,58,qhAmlWhdeIa1zIN0IWhI3puzHn1LVI4DcbxrEnqEEqE%3D
59,59,i4DP3vbXqYRMokTjTFzmLp3I3ZUhF1CerBJyiKzBMB4%3D
60,60,7kKNo28wu77zQuv093ZalVJpgFRr1YWY50fyJj6OBSY%3D
61,61,qO08XBGxSNut7iR76KZtJL9GALZIdXE2G4DrQ7Mwwac%3D
62,62,b%2BficpQ4Jwd0I2Asd89E409OS0wZziz9AhwQQY8yAA8%3D
63,63,GT31SQXG3fRF3pnKcEmrE6V9ZeufoL2mcH3%2BxgFRmng%3D
64,64,Z6wDCmXIDMhDPrnBiii8dJCspR8SCUDMWUNefroAdTM%3D
65,65,uzYeCxeLUHsJ8sZmAV1AaWf8EG47enYpZ22rjaFDgXk%3D
66,66,PWcGi6ZFTLIkdNuMuxyo33uwHGu1hu0iJU7DLw412ys%3D
67,67,N3eCx2QbBBX4ITTDtIXafeUvTjg03C2lhAAlnJR9rx0%3D
68,68,WU%2FtQgNFfPNCGZHb4%2B5RMejmeyV1AVldEh1DCU0gFXw%3D
69,69,CIdIAQmd4KrvZWpYYDpToLiBLjFtr%2FGNXtZF4uTCpVU%3D
70,70,%2FtnPpO2BDej4R9TwvY2iLrLgCrcckOuiCN2qf%2BmkzJI%3D
71,71,KSo3G7DM7vfCi72eQ%2Bsh%2B164OSM3zFidfUEpNtPlIcs%3D
72,72,yK8SRCaT5vy2ZOSwbri4DeBeXTVaun6ZNp8EOG5srSs%3D
73,73,rL%2BhX8ScRg6GmfBuSRuImcGuqAZBKcy8txJEO4QNaKs%3D
74,74,1zjTIxSL1G1W%2BuUNjE0y6%2B1QWhsShtJk3zeaNyzTacU%3D
75,75,w7vOcLHKiFB8XwLrQeL1VZiCYQz%2By7wQtD8xJA2QNDE%3D
76,76,HlO5cI31xXOg6O07LrfZMv2ztcRK41gpSycOGDnocLo%3D
77,77,YEU4W723lTYbqpxOzgdo9eC2dK8S9f40Qxi14QLdSNM%3D
78,78,93TKTOyR%2BgoOmJC3uaTbL2qQXzKn5ZjrheIhITnHYKU%3D
79,79,y3zMFHXMkX82dD3COX8ef%2Fz4j%2BksSFlmn628kVvEapI%3D
80,80,EuP8bWbtz6OZZ%2FJWOjLbnN2fAV6voMGnAMlZ9ObJbqQ%3D
81,81,oHYcCLReT%2FWEBd9pd58benZ7lK%2FfmXLa8dLv1cN3%2F2g%3D
82,82,QxQ0UEpAi%2BdpAPsiOKeGakwaGl8XEuM%2BQFEv1A88L%2B4%3D
83,83,U2Ad1CpO3lasAVsfeNiwzGysM5AngZ0UN%2FBQo0NGNuU%3D
84,84,bZAo4o2Of3mC29DxraMMUkL2cDDLVRmu6ys7koLsDaY%3D
85,85,WZTV6ZLCUyo1fTJNTsVZVKXLsg5TQK6ZflMvUOYHglE%3D
86,86,Hn8kVXNHyTHtOM3uiaQhCnaPaxkI9G%2BTI12I2U%2BtI10%3D
87,87,VYEWr%2BFpyW3UZVBEzQHfCq7R4HJ6mpZ%2Bzmwj8Aeo%2FXI%3D
88,88,wCbdlieOzPyeTVKfBfT6bZvLbNIj5J2KUs3hkcroVV0%3D
89,89,5UP1Q9Ys%2B8XPLQ6v0Mdo45Crtru4l8kFrAjSFAIcW2c%3D
90,90,2OkcJYPdyagRRZd6XC8y5lHrdpYijeY4EHD4dUxb7FU%3D
91,91,lJ7Ztrh7fROTUL8vYJ7OqlP0NaWz7CYP3mc5C9s66Ss%3D
92,92,%2ByG1MpndYI6Eul865xCUP079H1fdepzSWVT9ujPAM%2F4%3D
93,93,SqVHw2Wi4pJPmg0UsKJCeOYzgqVImA7TNM4tH1rrNGQ%3D
94,94,f40NILlsffheDtZUHzUF6VsX6l9s97QHuPBV%2F2ApnAE%3D
95,95,1ybYiUj4UuVxPwmGYXXmP%2FlYVX%2Bj1nv4QDEFwyVnAaA%3D
96,96,KJ%2B8fqaVp7McKri1E3QB8Q1WxafrR8tc7Fi1Nmo%2Brto%3D
97,97,EvqzCdIGCZ6VohiLXMsJtbFRcfD580bm7Ll%2FBytKP74%3D
98,98,BmwlzQVhtQpYP%2Ftm431r1t7mmhlKDo32fbEG26TGiCM%3D
99,99,5YChORSBVWDPPOA8iJLLuBX5vJLwgpQrMqAe3kHO0wY%3D
100,100,HxkDloCbX3P3xRm4ZA9Hx2MBk6yMLIPSZyIKgawkxWc%3D
101,101,ntFyc9O9gcnZ6IsrD%2Fp6lXYrLSHu6Lk8CKHXBOyMyeg%3D
102,102,8iAwnKtufn%2F1LtgMnfmsafEWDk7SvizPHBqkoDarT%2F4%3D
103,103,%2BzJTls%2Byt84EezMADB4w1i1jPMS3Vse%2FUBEIfz%2Fq%2FeY%3D
104,104,w2gIAIkS6wTVWyydXTfuM6qk3k%2FPT19orY%2Fwdd5sQ4o%3D
105,105,HXrTAKuP01CeZMJrLQloWA%2ByzTKPL4o15JF4V2egINk%3D
106,106,aTQaC9H769%2Bb%2F3wuy3nRQuTMbwMBEKqlKgT0htNPqnk%3D
107,107,8W2V4nhMEjfjKBLT5UIU1%2FMDKFTNN0EFTRx2wxPQRME%3D
108,108,zIimZod%2FJhIJSThMgw53zOqOvmDmP6p9WaZia1BYvRU%3D
109,109,cf2D9KRjLL5VIc492%2FUc%2FVlNCbg57iWi3ucjpgzKE7g%3D
110,110,bGHibY94%2BvNBexEgAtVrxEIxB2CNldifjebLiJ7uMXc%3D
111,111,RyylrbO2SG9F%2BwIGuJ92JqIzaLss5TT47msTvvjcRyo%3D
112,112,%2FQDK5rNTW2V3QONDYfHUptxzh6M72v7Ij8mvWgovTNE%3D
113,113,Ay%2FaRmghusvn2uV1%2BPx%2BtJntYJgUXp2nCivAKBqQijg%3D
114,114,gGkKTFbT9YBH4PMszLFjqbkqJbKCVsQVslH5WYX2G64%3D
115,115,RVoa0WbL7VCzC1vDXO6LZMuum1zyglpGiGPYkcSyTYc%3D
116,116,Wmy1q7JtFgHgFYxeo8Uk33iRhzzQm9MFZyHVmmpWhjs%3D
117,117,c5SO25b2dzkGCd5RmYckYdnbuAt1eRltyNL7dgZLeKA%3D
118,118,wCggLO%2BeybgqSbn52sapuovunzsuLkwGem%2BzClR4CWs%3D
119,119,Y9q%2BVgk8eY7hTJRhW9uQm0nulHbZdFW%2FpJXdXrdnqhE%3D
120,120,pFobwRasBc%2F5SPfstRl1%2BfxL06qRmDrJ3hR2LHOe7BU%3D
121,121,BcP2RnLVBO%2BrAw7cvZoVN0R5LYovsmF6C9Tb%2BHfE%2FcE%3D
122,122,hSgz%2F%2B3PYAMYlz%2FvIVoshhHZk66RAgOAuc3xelEHdVU%3D
123,123,7YA4vF%2B4Ux0Sk7sIuGa5J7vPg0DQonMV7vGddLMNJnw%3D
124,124,tMWhkofScPI2YBTA%2FGZw1gmrVOtuYphBiFP9tMQXCZM%3D
125,125,kcAjUt%2BvVoKSKJ2PqoV6RSpDb1IoxyvGTihu9nO22ss%3D
126,126,M2QBPom3FdGYINfldrowfNCHpf2TeT5HRpsk07%2FClgc%3D
127,127,o5Zul6uSHW86p%2Fo84khdF5WWPypB4hCbiOD8GzUovTU%3D
128,128,2nmn0pQ93qNilyVSOlxGrheEN8FQWh6TrmVgYEms5dc%3D
129,129,U8dX6Ld0Nq6r36oEbBoDeBLJgjR9XdNtS0EXaZX7ATU%3D
130,130,V%2Fat%2F%2FgJW2bmAdnoaEMt2pj%2FY%2Fv4zZwhR62U2AOxOco%3D
131,131,riLZW65PCjOQcUvw8t39JtHSy0Ivl678bi8XJG%2FRkCI%3D
132,132,ItVYRQe7tgOhJyzfl7B0JHK8OJblf%2BXvr3SJ3Ypzrrw%3D
133,133,JQS02sHNyCvMxee9n59aTO5sK5Bu%2F1gnTsRVh8zihTQ%3D
134,134,q4WNzehtQL4bSkIDRd2dmfpbC5aADsFjzrvkXkHZQ9g%3D
135,135,g1uNVNlcoVsulhQcwJCrE%2F%2BKQUHoQ5StoJ9uF9rGT2I%3D
136,136,dR%2B9yolSowo1mTuGvKKCHMsepOuJvBLSKMk0FQ9jt7E%3D
137,137,KxR%2FE2OdexztPjp1PyQKZOAH2a%2BxGRiuj9vI%2FEEBAWw%3D
138,138,SkhgWRzdg1wfbtA0%2FQbFp%2BhQG%2BPDJy8CGsanBziU8uw%3D
139,139,gjhNSiVx6vi1JU4TF4%2BiJEpxvHCE3Z%2B7MdptAlrAHaM%3D
140,140,9Ymq72mTz5Er5SgcNcnG3H8yk5WVAh2jjBQ5NZXISlI%3D
141,141,%2BkClYLKzDYRtGGQSG6SsHy5vck5iN%2FiuF5r%2B813ZQgE%3D
142,142,wYMUJtxasTR7mRgDxibuAVD%2BNQ%2FQLbEh3V3xHsO%2B%2BR8%3D
143,143,Ut0GBDSVLL3ZnEfwaM%2Bi%2FBQGlv5%2FkaLcqyrlppZCUh8%3D
144,144,f946jThb2h1nWDmGAxMkOy5albyEpVSeABsJn52zMFY%3D
145,145,RewZl%2BJRQ4y67MTFhc5i%2BtgtgD9bYf8tPdosgR3Kwe8%3D
146,146,xlMmsLDkLTftFKuwoLgKJK6PdQMOtanpcBYpZhkwxRs%3D
147,147,6ivPtaCKlkIaI6ICMCRqFGO7LKR29WuEySoGYMNyQcE%3D
148,148,5itkCv8FjTaAmB67GBqt%2FPwRq5BB9CpzFjXc05uqvV8%3D
149,149,vCZYc%2FOntd7Eiegry2aSb13qTH0gDNpnUaOQBnh5Ueg%3D
150,150,2MWpwz68Jws%2Fl5qd5Q%2BmZSidkYr%2BD7G2vCWC8L1%2FyZo%3D
151,151,9m2pM33ayQVSoeaGhFaNj0wIxtvbb6S4K1QrXEBlxWw%3D
152,152,1LYwxJwlC8MEyyV53DfPZahLdPoGfSjdh7yuF9pxeP4%3D
153,153,nrALcQhEcKbQK43EAYTeIDfxoDBnz%2BTgh2sfrPV5aZI%3D
155,155,2R3J4X2trYgFrZu4ZzzKbrPhwk7fb7ennrQa7zmNuus%3D
156,156,uq9vwIfSPsjtV2YaQMlAWBc8GtAbfGbvfyMiFGH5nKE%3D
157,157,xkJCIfl3NDwCHWpUVX6qWUgUPJyT686v6idEQqyrMUM%3D
158,158,35OOH4%2Bcrg%2BaHG8dCtX4lSwnGxZNKmZhNQ30t2W8JzA%3D
159,159,GbrE3Ekhe8Va%2FrsQEPlazAvNkHwkPP7UOIB%2B17nPUWo%3D
160,160,tSPpcetPG9yn5tFutjZ1w5C1T5RaLd8yCfn5IJ8weOU%3D
161,161,o%2F%2F0zCydy1TjwvvVpqQFGGbyb1rYwHHAzT%2FDS1PbJkE%3D
162,162,FuTB2SMP8d1DfWJazW7Fadgn0ZERG1nYCp%2BIFTX7Ecw%3D
163,163,J8JlkCnQU2BTaavlUl1FieMZ6WI3wyohQDz0qqXIhNU%3D
164,164,x3fe%2B%2Fkbfl2z6PhkiKgBq7Du2cz2HxiBW8OSVKw5eBc%3D
165,165,Z5%2B1DAcHMdJte%2FuGr61GxaF%2F7ZcJzPn4BXIRb6uY6ho%3D
166,166,YjZxwHXzIJ2KFexpca%2BIAJ0pLcZmlq9Ah%2FqkM6JzACw%3D
167,167,xOu6tSkuGGu38r7ByN%2Bd1FEUl27Ebn%2FQfJ%2F71tbwwBc%3D
168,168,cZpei3yZzILJNRn0G4axu9fkTG21xLiTOTSvIKG2RoQ%3D
169,169,4Xa62ZdrWSjUzgX%2F55bVEM%2FKPMVkNsN18hxRytrmx3U%3D
170,170,baOgOfePOQ0k2v5buQLfppG3S46PnykXGEqqMAiIFbA%3D
171,171,ywd%2B5gCu9IvbM0M7NkHqF60TJD1eDcgfui%2BDOVOm37Q%3D
172,172,op4KI9oInsizRfLkj%2BYx%2B7OwTfhSVy6Qgf2HeActaMY%3D
173,173,718dQbBECQotA4vCUrTSqQkelOS0zX298HVDkLsMxfc%3D
174,174,KLvIDU535Uc5l8NVR1xbTE6ASYtHgnLqBPNB9LgFWN8%3D
175,175,31CeViWnGL%2FsSVqfRdK3RKCj1yvs8Q0w8Eq6wingKf4%3D
176,176,3OXiKj4rpaHlSjjSVb4UYctN%2FziH%2BUMIg3ieiH2mfG0%3D
177,177,dYI7Fs6zszfItN0xB%2FpzdEJogH1YqlR3exgVZszj6ZE%3D
178,178,qU9tVsTEmG2V7lesGojFJU7xzlUGR%2F0Hwwiay4Shz5U%3D
179,179,xr9FuHBaZ7kzoUQtIVReToRCm1Y59R8cGhJxiar3pSw%3D
180,180,G8I8eaH%2BFNR0Cl20ZwnmNKybnEfvh1SzWKXBoHiGeBk%3D
181,181,pvWmc74iuZ75%2B7eSgzPO9ai9G5iG6O6jPZAdOXX9%2FIg%3D
182,182,rE4otHdr6JGL%2FTsmVK8zRiG7jar719PG%2BFdqhfXUpxA%3D
183,183,0Jd9yoUWcSxw85tEcsKwZge1q%2Fx2YSExtSgioJfslPI%3D
184,184,LBvpg3fG320ewDxmZnjAHlqqteTiyclUDTaTATQRkPo%3D
185,185,LIypeZvz1RY3qRiY%2BkOCjb3W7UFCZA8hHOV8EMyXSVM%3D
186,186,ZuMpih3Mr7i%2FkBM6837kdGkWzI7WsYJ1bIif8dIeYTg%3D
187,187,3XnhM%2Fm%2BerTt3wQGeDvHK848nsXzhnObRo%2FO6aY%2Bwsg%3D
188,188,kMXy1JPXnR%2FYMV8smvw3VL8dHXSVYokz7KXDFuDn9ww%3D
189,189,jSBdo9vKWOpyiPtxh%2F6Vd8w751PYjAhCBc%2BpuYwheDs%3D
190,190,YRFwcEwNG4nUOqlO0RszvzPYWHSbH95e5sF5oFEVzzU%3D
191,191,aAuS9Jl7hu%2BkOQ9IBd1we45lL1sGlynC1ryq9Z2XPUs%3D
192,192,tkh%2BrQa1v8D%2BCLmAH2IdskAG9HA3OpC5Y%2FaQnrvd1qE%3D
